name, description
amazon_junior_sd, "Amazon Junior Software Developer Professional Certificate 199h"
deep_learning_data_engineering, "eep Learning Data Engineering"
fractal_data_science, "Fractal Data Science Professional Certificate 157h"
meta_android_developer, "Meta Android Developer Professional Certificate"
meta_backend, "Meta Back-End Developer Professional Certificate 232h"
meta_data_analyst, "Meta Data Analyst Professional Certificate 101h"
meta_database_engineer, "Meta Database Engineer Professional Certificate 228h"
microsoft_powerbi, "Microsoft Power BI Data Analyst 157h"
microsoft_python, "Microsoft Python Development Professional Certificate 132h"
microsoft_sql_server, "Microsoft SQL Server"
snowflake_data_engineering, "Snowflake Data Engineering"
ucb_essential_math, "UCB Essential Math Specialization"